,Ticker,$Ticker,Company Name
2676,NAVB,$NAVB,"Navidea Biopharmaceuticals, Inc."
2677,NTIP,$NTIP,"Network-1 Technologies, Inc."
2678,NBW,$NBW,Neuberger Berman California Municipal Fund Inc.
2679,NHS,$NHS,Neuberger Berman High Yield Strategies Fund Inc.
2680,NML,$NML,Neuberger Berman MLP and Energy Income Fund Inc.
2681,NBH,$NBH,Neuberger Berman Municipal Fund Inc.
2682,NBO,$NBO,"Neuberger Berman New York Municipal Fund, Inc."
2683,NRO,$NRO,Neuberger Berman Real Estate Securities Income Fund Inc.
2684,GBR,$GBR,"New Concept Energy, Inc."
2685,NEN,$NEN,New England Realty Associates Limited Partnership
2686,NGD,$NGD,New Gold Inc.
2687,NXE,$NXE,NexGen Energy Ltd.
2688,NAK,$NAK,Northern Dynasty Minerals Ltd.
2689,NOG,$NOG,"Northern Oil and Gas, Inc."
2690,NBY,$NBY,"NovaBay Pharmaceuticals, Inc."
2691,NG,$NG,NovaGold Resources Inc.
2692,NTN,$NTN,"NTN Buzztime, Inc."
2693,NES,$NES,"Nuverra Environmental Solutions, Inc."
2694,OBLG,$OBLG,Oblong Inc.
2695,OCX,$OCX,OncoCyte Corporation
2696,OGEN,$OGEN,"Oragenics, Inc."
2697,PTN,$PTN,"Palatin Technologies, Inc."
2698,PZG,$PZG,Paramount Gold Nevada Corp.
2699,PRK,$PRK,Park National Corporation
2700,PED,$PED,PEDEVCO Corp.
2702,HNW,$HNW,Pioneer Diversified High Income Trust
2703,PLAG,$PLAG,Planet Green Holdings Corp.
2704,PLG,$PLG,Platinum Group Metals Ltd.
2705,PLM,$PLM,PolyMet Mining Corp.
2706,PW,$PW,Power REIT
2707,PLX,$PLX,"Protalix BioTherapeutics, Inc."
2708,RLGT,$RLGT,"Radiant Logistics, Inc."
2709,UTG,$UTG,Reaves Utility Income Fund
2710,RHE,$RHE,"Regional Health Properties, Inc."
2711,RCG,$RCG,"RENN Fund, Inc."
2712,RVP,$RVP,"Retractable Technologies, Inc."
2713,REI,$REI,"Ring Energy, Inc."
2714,SACC,$SACC,Sachem Capital Corp. 6.875% Not
2715,SACH,$SACH,Sachem Capital Corp.
2716,SCCB,$SCCB,378
2717,SNMP,$SNMP,Sanchez Midstream Partners LP
2718,SEB,$SEB,Seaboard Corporation
2719,SENS,$SENS,"Senseonics Holdings, Inc."
2720,SVT,$SVT,"Servotronics, Inc."
2721,SMTS,$SMTS,Sierra Metals Inc.
2722,SIF,$SIF,"SIFCO Industries, Inc."
2723,SVM,$SVM,Silvercorp Metals Inc.
2724,SILV,$SILV,SilverCrest Metals Inc.
2725,XPL,$XPL,Solitario Zinc Corp.
2726,LOV,$LOV,Spark Networks SE
2727,STXS,$STXS,"Stereotaxis, Inc."
2728,SSY,$SSY,"SunLink Health Systems, Inc."
2729,SDPI,$SDPI,"Superior Drilling Products, Inc."
2730,SYN,$SYN,"Synthetic Biologics, Inc."
2731,TKAT,$TKAT,"Takung Art Co., Ltd."
2732,TRX,$TRX,Tanzanian Gold Corporation
2733,TGB,$TGB,Taseko Mines Limited
2734,TGC,$TGC,"Tengasco, Inc."
2736,GGO,$GGO,The Gabelli Go Anywhere Trust
2737,TMBR,$TMBR,"Timber Pharmaceuticals, Inc."
